ticket_id,title,category,priority,reasoning
T001,Payment deducted twice,Billing,P1,Categorized as Billing based on matching keywords. Priority set to P1 due to estimated business impact: Billing discrepancy involves potential double charges or unauthorized transactio...
T002,Database connection error on checkout,Bug,P2,"Categorized as Bug based on matching keywords. Priority set to P2 due to estimated business impact: Core system function is broken or highly degraded, affecting workflow...."
T003,Slack integration request,Feature,P4,Categorized as Feature based on matching keywords. Priority set to P4 due to estimated business impact: Standard feature request or enhancement suggestion for future consideration....
T004,Typo in checkout header,Billing,P2,Categorized as Billing based on matching keywords. Priority set to P2 due to estimated business impact: General billing or subscription concern affecting user account access....
T005,Cannot log in to my account,Bug,P1,"Categorized as Bug based on matching keywords. Priority set to P1 due to estimated business impact: Bug involves high-severity security, login failure, or potential data loss...."
T006,Annual plan subscription price discrepancy,Billing,P1,Categorized as Billing based on matching keywords. Priority set to P1 due to estimated business impact: Billing discrepancy involves potential double charges or unauthorized transactio...
T007,Profile avatar upload fails,Bug,P2,"Categorized as Bug based on matching keywords. Priority set to P2 due to estimated business impact: Core system function is broken or highly degraded, affecting workflow...."
T008,Dark mode request,Feature,P4,Categorized as Feature based on matching keywords. Priority set to P4 due to estimated business impact: Standard feature request or enhancement suggestion for future consideration....
T009,API rate limits questions,Other,P4,Categorized as Other based on matching keywords. Priority set to P4 due to estimated business impact: General inquiry with low urgency and no direct impact on service availability....
T010,Export CSV button is unresponsive,Bug,P2,"Categorized as Bug based on matching keywords. Priority set to P2 due to estimated business impact: Core system function is broken or highly degraded, affecting workflow...."
T011,Refund request due to downtime,Billing,P1,Categorized as Billing based on matching keywords. Priority set to P1 due to estimated business impact: Billing discrepancy involves potential double charges or unauthorized transactio...
T012,Multi-factor authentication (MFA) support,Feature,P4,Categorized as Feature based on matching keywords. Priority set to P4 due to estimated business impact: Standard feature request or enhancement suggestion for future consideration....
T013,Mobile navigation menu layout issues,Bug,P3,Categorized as Bug based on matching keywords. Priority set to P3 due to estimated business impact: Minor bug with a workaround or low impact on system operations....
T014,Team plan pricing query,Other,P4,Categorized as Other based on matching keywords. Priority set to P4 due to estimated business impact: General inquiry with low urgency and no direct impact on service availability....
T015,CRITICAL: API key exposure in console logs,Bug,P1,"Categorized as Bug based on matching keywords. Priority set to P1 due to estimated business impact: Bug involves high-severity security, login failure, or potential data loss...."
T016,Credit card update fails,Billing,P2,Categorized as Billing based on matching keywords. Priority set to P2 due to estimated business impact: General billing or subscription concern affecting user account access....
T017,Bulk data export scheduling feature,Other,P4,Categorized as Other based on matching keywords. Priority set to P4 due to estimated business impact: General inquiry with low urgency and no direct impact on service availability....
T018,Severe dashboard latency,Bug,P2,"Categorized as Bug based on matching keywords. Priority set to P2 due to estimated business impact: Core system function is broken or highly degraded, affecting workflow...."
T019,Kudos to the support team,Billing,P2,Categorized as Billing based on matching keywords. Priority set to P2 due to estimated business impact: General billing or subscription concern affecting user account access....
T020,Expired password reset link,Other,P4,Categorized as Other based on matching keywords. Priority set to P4 due to estimated business impact: General inquiry with low urgency and no direct impact on service availability....
